Name,DT Name,DT Notation
10_124,10n_21,[4; 8; -14; 2; -16; -18; -20; -6; -10; -12]
10_125,10n_15,[4; 8; 14; 2; -16; -18; 6; -20; -10; -12]
10_126,10n_17,[4; 8; -14; 2; -16; -18; -6; -20; -10; -12]
10_127,10n_16,[4; 8; -14; 2; 16; 18; -6; 20; 10; 12]
10_128,10n_22,[4; 8; -14; 2; -16; -18; -20; -6; -12; -10]
10_129,10n_18,[4; 8; 14; 2; -16; -18; 6; -20; -12; -10]
10_130,10n_20,[4; 8; -14; 2; -16; -18; -6; -20; -12; -10]
10_131,10n_19,[4; 8; -14; 2; 16; 18; -6; 20; 12; 10]
10_132,10n_13,[4; 8; -12; 2; -16; -6; -20; -18; -10; -14]
10_133,10n_4,[4; 8; 12; 2; -14; -18; 6; -20; -10; -16]
10_134,10n_6,[4; 8; -12; 2; -14; -18; -6; -20; -10; -16]
10_135,10n_5,[4; 8; -12; 2; 14; 18; -6; 20; 10; 16]
10_136,10n_3,[4; 8; 10; -14; 2; -18; -6; -20; -12; -16]
10_137,10n_2,[4; 8; 10; -14; 2; -16; -18; -6; -20; -12]
10_138,10n_1,[4; 8; 10; -14; 2; 16; 18; -6; 20; 12]
10_139,10n_27,[4; 10; -14; -16; 2; -18; -20; -6; -8; -12]
10_140,10n_29,[4; 10; -14; -16; 2; 18; 20; -8; -6; 12]
10_141,10n_25,[4; 10; -14; -16; 2; 18; -8; -6; 20; 12]
10_142,10n_30,[4; 10; -14; -16; 2; -18; -20; -8; -6; -12]
10_143,10n_26,[4; 10; -14; -16; 2; -18; -8; -6; -20; -12]
10_144,10n_28,[4; 10; 14; 16; 2; -18; -20; 8; 6; -12]
10_145,10n_14,[4; 8; -12; -18; 2; -16; -20; -6; -10; -14]
10_146,10n_23,[4; 8; -18; -12; 2; -16; -20; -6; -10; -14]
10_147,10n_24,[4; 10; -14; 12; 2; 16; 18; -20; 8; -6]
10_148,10n_12,[4; 8; -12; 2; -16; -6; -18; -20; -10; -14]
10_149,10n_11,[4; 8; -12; 2; 16; -6; 18; 20; 10; 14]
10_150,10n_9,[4; 8; -12; 2; -16; -6; -18; -10; -20; -14]
10_151,10n_8,[4; 8; -12; 2; 16; -6; 18; 10; 20; 14]
10_152,10n_36,[6; 8; 12; 2; -16; 4; -18; -20; -10; -14]
10_153,10n_10,[4; 8; 12; 2; -16; 6; -18; -20; -10; -14]
10_154,10n_7,[4; 8; 12; 2; -16; 6; -18; -10; -20; -14]
10_155,10n_39,[6; 10; 14; 16; 18; 4; -20; 2; 8; -12]
10_156,10n_32,[4; 12; 16; -14; 18; 2; -8; 20; 10; 6]
10_157,10n_42,[6; -10; -18; 14; -2; -16; 20; 8; -4; 12]
10_158,10n_41,[6; -10; -16; 14; -2; -18; 8; 20; -4; -12]
10_159,10n_34,[6; 8; 10; 14; 16; -18; -20; 2; 4; -12]
10_160,10n_33,[4; 12; -16; -14; -18; 2; -8; -20; -10; -6]
10_161,10n_31,[4; 12; -16; 14; -18; 2; 8; -20; -10; -6]
10_162,10n_40,[6; 10; 14; 18; 16; 4; -20; 2; 8; -12]
10_163,10n_35,[6; 8; 10; 14; 16; -20; -18; 2; 4; -12]
10_164,10n_38,[6; -10; -12; 14; -18; -16; 20; -2; -4; -8]
10_165,10n_37,[6; 8; 14; 18; 16; 4; -20; 10; 2; -12]
11a_1,11a_1,[4; 8; 10; 14; 2; 16; 20; 6; 22; 12; 18]
11a_2,11a_2,[4; 8; 10; 14; 2; 18; 6; 20; 12; 22; 16]
11a_3,11a_3,[4; 8; 10; 14; 2; 18; 6; 20; 22; 12; 16]
11a_4,11a_4,[4; 8; 10; 14; 2; 18; 6; 22; 20; 12; 16]
11a_5,11a_5,[4; 8; 10; 14; 2; 20; 16; 6; 22; 12; 18]
11a_6,11a_6,[4; 8; 10; 16; 2; 18; 20; 6; 14; 22; 12]
11a_7,11a_7,[4; 8; 10; 16; 2; 18; 20; 6; 22; 12; 14]
11a_8,11a_8,[4; 8; 10; 16; 2; 18; 20; 6; 22; 14; 12]
11a_9,11a_9,[4; 8; 10; 16; 2; 18; 20; 22; 6; 12; 14]
11a_10,11a_10,[4; 8; 10; 16; 2; 18; 20; 22; 6; 14; 12]
11a_11,11a_11,[4; 8; 10; 16; 2; 20; 18; 6; 14; 22; 12]
