Name,DT Name,PD Notation
10_19,10a_108,[[1;13;2;12];[3;15;4;14];[5;10;6;11];[7;16;8;17];[9;18;10;19];[11;1;12;20];[13;3;14;2];[15;8;16;9];[17;6;18;7];[19;5;20;4]]
10_20,10a_74,[[2;8;3;7];[4;15;5;16];[6;4;7;3];[8;2;9;1];[10;18;11;17];[12;20;13;19];[14;5;15;6];[16;14;17;13];[18;12;19;11];[20;10;1;9]]
10_21,10a_60,[[1;15;2;14];[3;13;4;12];[5;17;6;16];[7;11;8;10];[9;18;10;19];[11;1;12;20];[13;3;14;2];[15;5;16;4];[17;7;18;6];[19;8;20;9]]
10_22,10a_112,[[2;11;3;12];[4;18;5;17];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;19;13;20];[14;6;15;5];[16;8;17;7];[18;4;19;3];[20;9;1;10]]
10_23,10a_57,[[2;13;3;14];[4;11;5;12];[6;18;7;17];[8;19;9;20];[10;1;11;2];[12;3;13;4];[14;7;15;8];[16;6;17;5];[18;16;19;15];[20;9;1;10]]
10_24,10a_71,[[2;14;3;13];[4;10;5;9];[6;17;7;18];[8;6;9;5];[10;4;11;3];[12;20;13;19];[14;2;15;1];[16;7;17;8];[18;12;19;11];[20;16;1;15]]
10_25,10a_61,[[1;11;2;10];[3;15;4;14];[5;13;6;12];[7;18;8;19];[9;1;10;20];[11;5;12;4];[13;7;14;6];[15;3;16;2];[17;8;18;9];[19;17;20;16]]
10_26,10a_111,[[1;12;2;13];[3;14;4;15];[5;17;6;16];[7;19;8;18];[9;1;10;20];[11;4;12;5];[13;2;14;3];[15;11;16;10];[17;9;18;8];[19;7;20;6]]
10_27,10a_58,[[1;11;2;10];[3;18;4;19];[5;16;6;17];[7;14;8;15];[9;13;10;12];[11;3;12;2];[13;20;14;1];[15;4;16;5];[17;6;18;7];[19;8;20;9]]
10_28,10a_44,[[1;9;2;8];[3;16;4;17];[5;14;6;15];[7;11;8;10];[9;3;10;2];[11;20;12;1];[13;18;14;19];[15;4;16;5];[17;6;18;7];[19;12;20;13]]
